,taxa,RESP_teg,RESP_gil,RESP_pls,RESP_spi,RESP_ves,LCD_short,LCD_long,RLC_sev,RLC_unv,RLC_mlt,RLC_flx,REP_ovo,REP_fie,REP_cie,REP_fic,REP_frc,REP_vec,REP_tec,REP_ase,BodSz_0.25,BodSz_0.25_0.5,BodSz_0.5_1,BodSz_1_2,BodSz_2_4,BodSz_4_8,BodSz_8_,Feed_Gra,Feed_Min,Feed_Xyl,Feed_Shr,Feed_Gat,Feed_Aff,Feed_Pff,Feed_Pre,Feed_Par
sp1,Acroloxus lacustris,3,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
sp2,Anisus sp.,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.4,0,0.6,0,0,0,0,1,0,0,1,0,0,0,0,0
sp3,Bithynia tentaculata,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
sp4,Borysthenia naticina,0,1,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
sp5,Ferrissia fragilis,3,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
sp6,Galba truncatula,3,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
sp7,Gyraulus crista,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
sp8,Gyraulus sp.,1,0,0,0,0,3,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
sp9,Lithoglyphus naticoides,0,1,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
sp10,Melanopsidae,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
sp11,Physella acuta,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0
sp12,Planorbis planorbis,3,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,2,2,1,0,0,0,1,0,0,1,1,0,0,0,0
sp13,Radix auricularia,3,0,0,0,0,2,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,3,2,0,0,1,0,0,1,1,0,0,0,0
sp14,Radix labiata,3,0,0,0,0,2,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,1,0,0,0,0
sp15,Stagnicola palustris,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sp16,Valvata cristata,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
sp17,Valvata piscinalis,0,1,0,0,0,1,1,0,3,0,0,0,0,0,3,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,1,1,0,0,0
sp18,Viviparus acerosus,1,3,0,0,0,1,3,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
sp19,Viviparus viviparus,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
sp20,Dreissena polymorpha,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
sp21,Sinanodonta woodiana,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
sp22,Erpobdella octoculata,3,0,0,0,0,0,1,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
sp23,Haemopis sanguisuga,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
sp24,Helobdella stagnalis,3,0,0,0,0,3,1,0,3,1,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
sp25,Hemiclepsis marginata,3,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
sp26,Placobdella costata,3,0,0,0,0,0,3,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
sp27,Limnodrilus claparedeanus,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sp28,Limnodrilus hoffmeisteri,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
sp29,Limnodrolus undekemianus ,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
sp30,Nais sp.,3,0,0,0,0,0,1,0,0,3,0,0,2,1,0,0,0,0,3,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
sp31,Tubifex sp.,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sp32,Tubifex tubifex,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
sp33,Turbellaria ,1,0,0,0,0,3,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
sp34,Asellus aquaticus,0,3,0,0,0,3,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0
sp35,Hydrachnidia,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
sp36,Anax imperator,1,1,0,0,0,2,2,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
sp37,Coenagrion puella,1,1,0,0,0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
sp38,Coenagrion sp.,1,1,0,0,0,3,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
sp39,Coenagrionide,1,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
sp40,Crocothemis erythraea,1,1,0,0,0,1,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
sp41,Epitheca bimaculata,1,3,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
sp42,Erythromma najas ,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sp43,Ischnura elegans,1,1,0,0,0,1,1,1,1,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
sp44,Orthetrum cancellatum,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sp45,Orthetrum sp.,1,1,0,0,0,0,3,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
sp46,Platycnemis pennipes,1,1,0,0,0,0,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
sp47,Pyrrhosoma nymphula,1,1,0,0,0,4,3,2,2,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
sp48,Sympetrum fonscolombii,1,1,0,0,0,3,0,0,1,3,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
sp49,Zygoptera,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0
sp50,Athripsodes atterimus ,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
sp51,Ecnomus sp.,1,0,0,0,0,3,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
sp52,Hydroptila sp. ,1,1,0,0,0,3,0,0,2,3,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
sp53,Polycentropus flavomaculatus,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
sp54,Baetidae,1,1,0,0,0,1,0,1,1,3,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
sp55,Caenis robusta,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
sp56,Ceanis horaria,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
sp57,Cloeon dipterum,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
sp58,Corixidae,1,0,2,3,0,3,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
sp59,Mesoveliidae,0,0,0,3,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sp60,Naucoris sp.,0,0,0,3,0,3,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
sp61,Plea minutissima,0,0,0,3,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sp62,Veliidae,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
sp63,Dytiscus sp.,0,0,1,0,0,0,3,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
sp64,Enochrus sp.,1,0,1,3,0,1,3,0,3,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
sp65,Hydrophilidae,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,3,0
sp66,Peltodytes caesus,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
sp67,Anopheles sp.,0,0,0,3,0,3,0,0,2,2,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
sp68,Ceratopogonidae,1,0,0,0,0,1,0,0,2,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
sp69,Chaoborus sp.,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
sp70,Culex sp.,0,0,0,3,0,3,0,0,2,2,0,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
sp71,Dixella sp. ,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
sp72,Setacera sp.,0,0,0,3,0,3,0,0,3,1,0,0,0,1,1,0,2,2,0,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0
sp73,Tipulidae,2,1,0,3,0,2,3,1,3,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
sp74,Ablabesmyia monilis ,3,1,0,0,0,3,0,0,1,2,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
sp75,Ablabesmyia phatta,3,1,0,0,0,3,0,0,1,2,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
sp76,Chironomus annularius agg.,3,1,0,0,0,3,0,0,1,3,0,0,0,0,3,2,1,0,0,0,0,1,3,2,0,0,1,0,0,0,1,0,0,0,0
sp77,Chironomus bernensis ,3,1,0,0,0,3,0,0,1,3,0,0,0,0,3,2,1,0,0,0,0,1,3,2,0,0,0,0,0,0,1,1,0,0,0
sp78,Chironomus gr. luridus ,3,1,0,0,0,3,0,0,1,3,0,0,0,0,3,2,1,0,0,0,0,1,3,2,0,0,1,0,0,0,1,0,1,0,0
sp79,Chironomus obtusidens ,3,1,0,0,0,3,0,0,0,1,0,0,0,0,3,2,1,0,0,0,0,1,3,2,0,0,1,0,0,0,1,1,0,0,0
sp80,Chironomus plumosus agg.,3,1,0,0,0,3,0,0,1,1,0,0,0,0,3,2,1,0,0,0,0,1,3,2,0,0,1,0,0,1,1,1,0,0,0
sp81,Chironomus riparius agg.,3,1,0,0,0,3,0,0,0,1,0,0,0,0,3,2,1,0,0,0,0,1,3,2,0,0,0,0,0,0,1,1,0,0,0
sp82,Chironomus sp.,3,1,0,0,0,3,0,0,1,3,0,0,0,0,3,2,1,0,0,0,0,1,3,2,0,0,1,0,0,0,1,1,0,0,0
sp83,Chironomus tentans ,3,1,0,0,0,3,0,0,1,3,0,0,0,0,3,2,1,0,0,0,0,1,3,2,0,0,1,0,0,1,1,1,0,0,0
sp84,Cladopelma gr. goetghebueri,3,1,0,0,0,3,0,0,1,3,0,1,0,0,1,3,0,0,0,0,0,1,3,2,0,0,1,0,0,0,1,0,0,0,0
sp85,Cladopelma gr. viridulum,3,1,0,0,0,3,0,0,1,3,0,1,0,0,1,3,0,0,0,0,0,1,3,2,0,0,1,0,0,0,1,0,0,1,0
sp86,Cladotanytarsus sp.,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
sp87,Corynoneura gr. scutellata,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
sp88,Corynoneura sp.,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
sp89,Cricotopus (Isocladius) sp.,1,1,0,0,0,1,0,0,0,1,0,0,1,0,2,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
sp90,Cricotopus bicinctus,0,1,0,0,0,1,0,0,1,2,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
sp91,Cricotopus gr. cylindraceus/ festivellus ,0,1,0,0,0,1,0,0,1,3,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
sp92,Cricotopus gr. sylvestris,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
sp93,Cricotopus intersectus agg.,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
sp94,Cricotopus gr. laricomalis ,0,1,0,0,0,1,0,0,1,3,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
sp95,Cricotopus sp.,0,1,0,0,0,1,0,0,1,3,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
sp96,Cricotopus gr. tibialis ,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
sp97,Cryptochironomus obreptans/supplicans,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0
sp98,Dicrotendipes lobiger,3,1,0,0,0,3,0,0,0,1,0,1,0,0,1,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0
sp99,Dicrotendipes modestus,3,1,0,0,0,3,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
sp100,Dicrotendipes nervosus,3,1,0,0,0,3,0,0,0,1,0,1,0,0,1,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0
sp101,Dicrotendipes pulsus ,3,1,0,0,0,3,0,0,0,1,0,1,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
sp102,Endochironomus albipennis,3,1,0,0,0,3,0,0,0,1,0,1,0,0,1,3,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0
sp103,Endochironomus tendens ,3,1,0,0,0,3,0,0,0,1,0,1,0,0,1,3,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0
sp104,Glyptotendipes barbipes ,3,1,0,0,0,1,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
sp105,Glyptotendipes caulicola,3,1,0,0,0,3,0,0,0,3,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
sp106,Glyptotendipes imbecilis,3,1,0,0,0,3,0,0,0,3,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
sp107,Glyptotendipes pallens agg.,3,1,0,0,0,3,0,0,0,3,0,1,0,0,1,3,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0
sp108,Glyptotendipes sp.,3,1,0,0,0,3,0,0,0,3,0,1,0,0,1,3,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0
sp109,Guttipelopia guttipennis,3,1,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0
sp110,Harnischia sp.,3,1,0,0,0,1,0,0,0,1,0,0,0,0,2,2,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,1,0
sp111,Kiefferulus tendipediformis,3,1,0,0,0,3,0,0,1,3,0,1,0,0,1,3,0,0,0,0,0,1,3,2,0,0,0,0,0,0,1,1,0,0,0
sp112,Labrundinia longipalpis,3,1,0,0,0,3,0,0,3,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
sp113,Lipiniella moderata,3,1,0,0,0,1,0,0,0,1,0,0,0,0,2,2,1,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
sp114,Microchironomus tener ,3,1,0,0,0,3,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
sp115,Micropsectra sp.,3,1,0,0,0,1,0,0,0,1,0,0,0,0,2,2,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0
sp116,Monopelopia tenuicalcar,3,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
sp117,Orthocladiinae non. det.,3,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,2,1,0,0,0,1,1,0,1,1,1,0,1,1
sp118,Parachironomus gr. arcuatus ,3,1,0,0,0,3,0,0,1,3,0,1,0,0,1,3,0,0,0,0,0,1,3,2,0,0,1,0,0,0,1,0,0,1,0
sp119,Parachironomus varus,3,1,0,0,0,3,0,0,1,3,0,1,0,0,1,3,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,1
sp120,Paratanytarsus austriacus ,3,1,0,0,0,3,0,0,1,1,0,1,0,0,1,3,0,0,0,0,2,3,0,0,0,0,1,0,0,0,1,1,0,0,0
sp121,Paratanytarsus sp.,3,1,0,0,0,3,0,0,2,3,0,1,0,0,1,3,0,0,0,0,2,3,0,0,0,0,1,0,0,0,1,1,0,0,0
sp122,Paratanytarsus sp.1 (tenuis agg.),3,1,0,0,0,3,0,0,2,3,0,1,0,0,1,3,0,0,0,0,2,3,0,0,0,0,1,0,0,0,1,1,0,0,0
sp123,Paratanytarsus sp.2 (grimmii),3,1,0,0,0,3,0,0,2,3,0,1,0,0,1,3,0,0,0,0,2,3,0,0,0,0,1,0,0,0,1,1,0,0,0
sp124,Paratanytarus dissimilis agg.,3,1,0,0,0,3,0,0,2,3,0,1,0,0,1,3,0,0,0,0,2,3,0,0,0,0,1,0,0,0,1,1,0,0,0
sp125,Paratanytarus lauterborni,3,1,0,0,0,3,0,0,0,1,0,1,0,0,1,3,0,0,0,0,2,3,0,0,0,0,1,0,0,0,1,1,0,0,0
sp126,Paratendipes albimanus,3,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0
sp127,Polypedilum arundinetum,3,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,3,2,0,0,0,0,0,0,1,0,0,0,0
sp128,Polypedilum bicrenatum,3,1,0,0,0,3,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,1,3,2,0,0,0,0,0,1,1,0,0,0,0
sp129,Polypedilum nubeculosum,3,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,1,0,0,0,1,1,0,0,0
sp130,Polypedilum nubifer,3,1,0,0,0,3,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,3,2,0,0,0,0,0,1,0,0,0,0,0
sp131,Polypedilum scalaenum,3,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,1,0,0,0,1,1,0,0,0
sp132,Polypedilum sordens ,3,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,2,0,0,1,0,0,0,1,1,0,0,0
sp133,Polypedilum sp.,3,1,0,0,0,3,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,1,3,2,0,0,1,0,0,1,1,1,0,0,0
sp134,Procladius sp.,3,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,3,2,0,0,0,0,0,0,1,0,0,1,0
sp135,Psectrocladius gr. sordidellus/ limbatellus ,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
sp136,Tanypodinae non. det.,3,1,0,0,0,3,0,0,3,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0
sp137,Tanypus kraatzi,3,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0,1,1
sp138,Tanypus punctipennis,3,1,0,0,0,3,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0,1,1
sp139,Tanytarsini non. det.,1,1,0,0,0,3,0,0,3,3,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0
sp140,Tanytarsus sp.,3,1,0,0,0,3,0,0,3,1,0,1,0,0,1,3,0,0,0,0,2,3,0,0,0,0,1,0,0,0,1,1,0,0,0
sp141,Zavrelimyia sp.,3,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
