Sampling_site,Treatment,Year,Country,Random_effects,System_type,Tem,EC,DO,Dopr,BOD,NO3.N,NH4.N,PO4.P,Chl.a,Area_m2,Depth_cm,Macrophyte_biomass,Fish_abundance,Agriculture_m,Gravel_eff,Highway_m,Highway_eff,Waste.effluent,Solid_waste,HII_mean,Forests,Wetlands,Water_bodies,Agricultural,Abund,SR,H,FRic,FEve,FDiv,FDis,RaoQ,System_id,Water_PC1,Water_PC2,Water_PC3,HI_PC1,HI_PC2,HI_PC3
I1_2016,I1,2016,Serbia,1_16_Serbia,Pond,13.7,905,13.58,163.9,3.3,0.308,0.269,0.03,8.89,893.55,75,130.8873333,13,179.53,2,258.25,2,0,74,0.55696475,0,100,0,0,1183.98,18,1.77,71.94336232,0.420952768,0.683526324,3.392162969,16.23345497,1,-1.389464365636477,-0.3894443113275122,-0.7820869260786881,-0.7075456857072062,-0.9958968551100424,-0.10213766514519662
I2_2016,I2,2016,Serbia,1_16_Serbia,Pond,23,890,12.36,146.8,1.6,0.256,0.485,0.03,6.35,893.55,110,64.87773333,11,140.24,2,219.9,2,0,74,0.560977716,0,100,0,0,2543.98,15,0.44,22.4175281,0.593008952,0.681665207,0.662569324,2.346236403,1,-0.7195174652057257,0.04995554389378429,-0.8344003120707364,-0.7480149850728328,-1.0173202713159757,-0.1450625656932809
I3_2016,I3,2016,Serbia,1_16_Serbia,Pond,23.1,906,12.8,152.7,0.49,0.545,0.379,0.03,10.11,893.55,80,80.9304,10,156.12,2,288.01,2,0,74,0.556725283,0,100,0,0,1450.66,12,1.18,9.016408937,0.457850772,0.727500802,2.40086521,8.1796737,1,-0.848494546273755,-0.034269327343825734,-0.9176786139325888,-0.71451535376009645,-1.0030960927511032,-0.12069078441006553
II1_2016,II1,2016,Serbia,2_16_Serbia,Pond,21.9,981,9.45,110.5,1.84,0.508,0.212,0.02,26.72,1882.43,125,151.5631333,30,342.85,3,130.36,2,0,151.15,0.669397533,0,100,0,0,826.64,20,2.41,122.3948955,0.522444319,0.800776087,4.583933513,23.06136388,2,-0.9780873277220582,-0.22239362103968435,-0.08294030531415586,-1.505633036676137,-1.4306161673961477,1.2485911403047896
II2_2016,II2,2016,Serbia,2_16_Serbia,Pond,22,1035,9.41,109,3.43,0.537,0.535,0.02,14.79,1882.43,155,96.98503333,10,315.3,3,126.76,2,0,151.15,0.671046866,0,100,0,0,997.32,17,2.13,19.5208245,0.484200662,0.690968682,4.172118082,19.66958744,2,-0.4787980134176154,-0.15500988285425174,-0.06747495358826971,-1.526420605035145,-1.4431743396037624,1.2216013500111433
II3_2016,II3,2016,Serbia,2_16_Serbia,Pond,22,1041,8.85,104.5,7.46,0.552,0.389,0.02,27.13,1882.43,170,101.4140667,23,327.45,3,107.83,2,0,254.86,0.735980311,0,100,0,0,448,11,2.07,6.815645766,0.696754371,0.756657349,4.494649946,21.92678806,2,-0.12964671427739655,0.23005058831069225,0.08386133357342296,-2.0845891628898783,-1.0651714291678096,1.6847627369232863
III1_2016,III1,2016,Serbia,3_16_Serbia,Pond,23.4,688,14.88,176.8,10.38,0.415,0.361,0.02,325.47,1621.21,55,81.72676667,159,438.01,2,154.58,2,0,47.11,0.531604057,0,100,0,0,517.34,6,0.77,0.019508644,0.685971143,0.914476357,1.907582109,6.638668409,3,0.5990706209682327,2.1490664087103313,0.3158581112933987,-0.41193330468207223,-0.9897488695373986,0.015026598492186627
III2_2016,III2,2016,Serbia,3_16_Serbia,Pond,23.6,706,11.02,132,9.82,0.726,0.732,0.02,414.57,1621.21,80,63.52826667,87,395.09,2,120.85,2,0,0,0.506219367,0,100,0,0,208,10,1.86,8.190720769,0.609676668,0.651464454,3.775643401,16.67731381,3,0.8537971103360245,1.912567208701102,1.6609528494708186,-0.19880753700997383,-1.1824650432010608,-0.23700155098431452
III3_2016,III3,2016,Serbia,3_16_Serbia,Pond,23.2,708,13.08,157.9,10.24,0.356,0.491,0.02,441.03,1621.21,100,35.5334,136,369.37,2,120.88,2,0,0,0.5075896,0,100,0,0,170.66,10,2,10.6124991,0.686915749,0.70718994,3.844276426,16.85687201,3,0.7879632509011576,2.303094337375803,1.3934294573004085,-0.21710937945181458,-1.1938303364080702,-0.2617459217570668
IV1_2016,IV1,2016,Serbia,4_16_Serbia,Pond,21.6,1204,7.71,89.1,4.51,0.697,0.402,0.08,86.88,429.42,110,33.6337,31,386.79,1,327.54,1,0,31.7,0.449417185,0,0,88.41,11.59,234.65,7,1.21,0.175190727,0.563061827,0.526000941,3.0836394,12.32231553,4,-0.16523521519021875,-0.11932665532436047,0.7702425946536814,0.1468878683891354,-0.2776871730495802,-0.9515499741192575
IV2_2016,IV2,2016,Serbia,4_16_Serbia,Pond,22.2,1189,8.16,94.4,5.69,0.634,0.452,0.16,85.8,429.42,120,122.6487333,21,374.1,1,335.84,1,0,0,0.429922667,0,0,67.32,32.68,261.32,8,1.31,0.80959425,0.57573593,0.852507541,2.926571277,9.982827372,4,0.13699117495802413,-0.032421130944498215,0.6212261133280909,0.3119260997809098,-0.39692919038640245,-1.1014214628964953
IV3_2016,IV3,2016,Serbia,4_16_Serbia,Pond,21.3,1230,8.95,103,9.02,0.56,0.427,0.05,92.05,429.42,120,15.11006667,14,385.32,1,345.85,1,0,0,0.428823767,0,0,95.21,4.79,575.98,14,2.15,15.78096338,0.728364232,0.633356982,3.256972234,11.98566013,4,0.4066017240847558,0.4849101552550957,0.5844294579787914,0.32317606108000374,-0.3909109344642531,-1.0892891336125305
V1_2016,V1,2016,Serbia,5_16_Serbia,Pond,20.4,1217,4.57,51.5,7.7,0.611,0.891,0.06,82.58,6340.88,170,181.5043667,36,505.39,1,68.77,3,0,27.7,0.453537441,0,0,41.91,58.09,2217.01,23,2.36,132.9268445,0.456117975,0.780415125,4.406252183,21.42264431,5,0.318853461405125,-0.24676618580634596,1.4995266445622655,0.16862970611210318,-0.26708847908921457,-0.8894825642950225
V2_2016,V2,2016,Serbia,5_16_Serbia,Pond,21.7,1326,2.63,30,6.29,1.119,1.194,0.05,29.62,6340.88,220,98.66756667,30,522.86,1,129.94,2,1,320.91,0.8322838,0,0,65.91,34.09,1290.66,18,1.93,118.1983947,0.464375504,0.76357506,4.536020769,22.55604317,5,0.5056043780913525,-0.7499260300753083,1.6450073796982472,-2.270779536697379,2.631357515367431,0.32612445868621326
V3_2016,V3,2016,Serbia,5_16_Serbia,Pond,21.2,1296,3.66,31.3,6.44,6.422,1.511,0.05,54.95,6340.88,250,83.96043333,23,463.04,1,122.54,2,0,27.7,0.453107607,0,0,100,0,725.34,16,1.78,139.5452772,0.606652333,0.927604645,3.660031006,17.71524157,5,1.2662162961584433,-1.6614135942353907,1.4125237851743675,0.1559991899156066,-0.2801194439579657,-0.9230552062259626
VI1_2016,VI1,2016,Serbia,6_16_Serbia,Pond,17.9,975,9.16,98.6,3.54,19.086,1.711,2.03,9.53,14206.05,170,146.5404667,34,515.19,1,300.52,1,1,207,0.753172,0,100,0,0,559.99,15,2.44,24.650158,0.576928157,0.823926782,4.643559544,23.486534,6,3.7653213059473702,-7.183979615569469,-1.245813271366673,-1.604865478079576,2.234531443999522,-0.15713429322797218
VI2_2016,VI2,2016,Serbia,6_16_Serbia,Pond,19.3,940,3.72,41.2,4.38,0.952,1.208,0.39,89.14,14206.05,180,8.3027,13,481.11,1,344.5,1,1,207,0.7527906,0,100,0,0,325.33,9,1.49,12.81816788,0.67523278,0.639389253,3.648893925,14.9330434,6,0.07430897679301225,-1.3056958320543675,1.4851830516500553,-1.6147981628566852,2.224120247961302,-0.18405617159266002
VI3_2016,VI3,2016,Serbia,6_16_Serbia,Pond,19.2,902,5.98,69.9,4.83,0.4,1.324,0.54,185.93,14206.05,200,10.5166,25,453.7,1,391.81,1,1,207,0.751886966,0,100,0,0,149.32,9,2.07,11.66698463,0.739835856,0.859775596,5.411728279,30.8298348,6,0.5274337880782525,-0.8850791650049266,1.5593339105196269,-1.618896989302212,2.217009517826126,-0.20411551673385647
I1_2017,I1,2017,Serbia,1_17_Serbia,Pond,23.9,430,7.6,85,4.25,0.423,0.255,0.09,33.88,893.55,75,276.4,54,179.53,2,258.25,2,0,74,0.55696475,0,100,0,0,154.31,10,1.75,7.550084827,0.710486291,0.764494866,3.774635784,14.99753549,1,-1.2287767440826727,-0.08421713911701598,-0.1372343837886827,-0.7075456857072062,-0.9958968551100424,-0.10213766514519662
I2_2017,I2,2017,Serbia,1_17_Serbia,Pond,22.3,720,9.67,115,6.32,0.245,1.028,0.05,154.71,893.55,110,94.5,22,140.24,2,219.9,2,0,74,0.560977716,0,100,0,0,431.98,18,2.22,42.16548222,0.491892053,0.731928449,3.974082028,18.10312791,1,0.10131300607717428,0.5445408124045037,0.5379735287318872,-0.7480149850728328,-1.0173202713159757,-0.1450625656932809
I3_2017,I3,2017,Serbia,1_17_Serbia,Pond,22.4,644,6.7,80.2,3.35,0.384,0.599,0.05,114.56,893.55,80,193.5,73,156.12,2,288.01,2,0,74,0.556725283,0,100,0,0,399.98,23,2.6,124.7199995,0.709935344,0.807506321,4.543903399,22.59097798,1,-0.8659613012159834,-0.10326510289179301,0.7821733138027246,-0.71451535376009645,-1.0030960927511032,-0.12069078441006553
II1_2017,II1,2017,Serbia,2_17_Serbia,Pond,26.2,963,17.99,200,5.16,0.045,0.446,0.05,7.74,1882.43,125,101.7,23,342.85,3,130.36,2,0,151.15,0.669397533,0,100,0,0,1279.99,27,2.7,71.99691394,0.478687107,0.685842664,3.398305767,13.77371846,2,0.29768859562597905,1.1992008029615104,-2.0295062384491853,-1.505633036676137,-1.4306161673961477,1.2485911403047896
II2_2017,II2,2017,Serbia,2_17_Serbia,Pond,27.2,972,13.2,127.5,4.21,0.056,0.881,0.05,12.71,1882.43,155,530.2,18,315.3,3,126.76,2,0,151.15,0.671046866,0,100,0,0,799.97,21,2.4,26.75749192,0.448281973,0.68444029,3.613169789,13.63024805,2,0.4070473555165618,0.687505195009632,-0.9975889194385003,-1.526420605035145,-1.4431743396037624,1.2216013500111433
II3_2017,II3,2017,Serbia,2_17_Serbia,Pond,26.6,980,14.33,182.3,4.35,0.373,0.535,0.05,22.02,1882.43,170,226.7,24,327.45,3,107.83,2,0,254.86,0.735980311,0,100,0,0,1264,22,2.56,57.82700254,0.618586251,0.771036865,3.815888143,15.64025547,2,0.20680831392068585,0.7766586845577497,-1.2113290269772548,-2.0845891628898783,-1.0651714291678096,1.6847627369232863
III1_2017,III1,2017,Serbia,3_17_Serbia,Pond,27.1,920,15.8,198,13.55,0.633,1.476,0.05,109.09,1621.21,55,24.8,28,438.01,2,154.58,2,0,47.11,0.531604057,0,100,0,0,1882.67,13,1.24,15.89163125,0.572521615,0.753436986,3.665929482,14.55753093,3,2.2092197041999304,1.9177596742312863,-0.9529979792493597,-0.41193330468207223,-0.9897488695373986,0.015026598492186627
III2_2017,III2,2017,Serbia,3_17_Serbia,Pond,27.9,930,17.88,200,16.83,0.195,1.612,0.05,104.27,1621.21,80,8.8,16,395.09,2,120.85,2,0,0,0.506219367,0,100,0,0,1210.65,10,1.14,12.94957306,0.430366952,0.661759413,3.577597059,13.26738386,3,2.827255825907165,2.5400542208778454,-1.3902808186477837,-0.19880753700997383,-1.1824650432010608,-0.23700155098431452
III3_2017,III3,2017,Serbia,3_17_Serbia,Pond,27,920,14.81,191,8.34,0.243,1.373,0.05,120.07,1621.21,100,9.7,10,369.37,2,120.88,2,0,0,0.5075896,0,100,0,0,1162.66,10,1.05,16.15624202,0.389883443,0.570482713,3.067585538,12.50927583,3,1.454520257676734,1.4455322149872523,-0.6693232549751926,-0.21710937945181458,-1.1938303364080702,-0.2617459217570668
IV1_2017,IV1,2017,Serbia,4_17_Serbia,Pond,17.7,1359,9.01,99.3,7.74,0.381,1.254,0.506,267.78,429.42,110,138.6,58,386.79,1,327.54,1,0,31.7,0.449417185,0,0,88.41,11.59,495.98,20,2.55,29.53579643,0.606985934,0.731420502,4.051760281,19.42145948,4,1.5148051100465754,-0.11903935362934559,1.7837401777320685,0.1468878683891354,-0.2776871730495802,-0.9515499741192575
IV2_2017,IV2,2017,Serbia,4_17_Serbia,Pond,17.7,1343,8.41,89.8,7.92,0.145,1.079,0.05,271.7,429.42,120,462.9,18,374.1,1,335.84,1,0,0,0.429922667,0,0,67.32,32.68,1157.31,27,2.56,96.46925163,0.468354117,0.716349842,4.155754472,19.19639337,4,0.8657837867442784,0.5913251417122967,2.059596344386575,0.3119260997809098,-0.39692919038640245,-1.1014214628964953
IV3_2017,IV3,2017,Serbia,4_17_Serbia,Pond,19.9,1339,12.36,137,12.31,0.302,1.367,0.05,199.5,429.42,120,629.4,17,385.32,1,345.85,1,0,0,0.428823767,0,0,95.21,4.79,1119.97,21,1.82,66.99289322,0.60358159,0.814434342,4.038524621,17.48002788,4,1.8680821809179586,1.26233899557125,0.7933609658170094,0.32317606108000374,-0.3909109344642531,-1.0892891336125305
V1_2017,V1,2017,Serbia,5_17_Serbia,Pond,23.7,1244,17.24,200,12.09,0.177,1.203,0.606,19.89,6340.88,170,495.3,72,505.39,1,68.77,3,0,27.7,0.453537441,0,0,41.91,58.09,2602.63,25,2.05,73.83246696,0.493874497,0.548087232,2.555544256,8.560500826,5,2.4133053453350573,0.6791013189461707,-1.6409583799626983,0.16862970611210318,-0.26708847908921457,-0.8894825642950225
V2_2017,V2,2017,Serbia,5_17_Serbia,Pond,22.5,1265,14.28,168.5,12.13,4.367,2.234,0.5,35.3,6340.88,220,97,33,522.86,1,129.94,2,1,320.91,0.8322838,0,0,65.91,34.09,869.34,18,2.24,3.901013017,0.555445309,0.637777219,2.311472225,7.506887994,5,3.31733666258352,-0.4387969314348254,-0.8784887701723868,-2.270779536697379,2.631357515367431,0.32612445868621326
V3_2017,V3,2017,Serbia,5_17_Serbia,Pond,21.7,1274,18.8,182,14.52,2.943,1.62,0.5,46.84,6340.88,250,278.1,46,463.04,1,122.54,2,0,27.7,0.453107607,0,0,100,0,4314.65,33,1.97,67.0137834,0.512244133,0.526193337,2.400155812,7.374808834,5,3.156412480282259,0.5477637405295479,-1.7289248058697129,0.1559991899156066,-0.2801194439579657,-0.9230552062259626
VI1_2017,VI1,2017,Serbia,6_17_Serbia,Pond,18.5,1173,11.08,134,8.17,0.166,2.22,0.6,51.57,14206.05,170,277.3,34,515.19,1,300.52,1,1,207,0.753172,0,100,0,0,437.3,22,2.5,232.6183794,0.666151453,0.645113464,3.851395304,18.97538835,6,1.98708831555232,-0.7263054677594155,0.078610795502775,-1.604865478079576,2.234531443999522,-0.15713429322797218
VI2_2017,VI2,2017,Serbia,6_17_Serbia,Pond,19.1,1043,10.81,120,10.21,0.122,1.969,0.8,101.86,14206.05,180,448.6,13,481.11,1,344.5,1,1,207,0.7527906,0,100,0,0,2128,14,1.71,39.56540935,0.522488157,0.642930157,3.640105226,14.39199205,6,2.171607970886661,-0.6042115628964886,0.2017591271533608,-1.6147981628566852,2.224120247961302,-0.18405617159266002
VI3_2017,VI3,2017,Serbia,6_17_Serbia,Pond,19.4,1003,7.08,79.3,6.88,1.043,1.723,0.05,25.03,14206.05,200,488.5,25,453.7,1,391.81,1,1,207,0.751886966,0,100,0,0,1759.98,23,1.99,118.1115718,0.513023814,0.88912456,3.456101005,13.82360744,6,0.581323007181867,-0.5328958670204516,0.6657221512370026,-1.618896989302212,2.217009517826126,-0.20411551673385647
B1_2017,B1,2017,Croatia,7_17_Croatia,Pond,13.1,390,10.72,103.2,2.07,0.006,0.121,0,44.77275591,4111.65,87,380.9,54,537,1,4000,0,0,0,0.238026667,0,100,0,0,138.66,8,1.47,0.971832774,0.731877898,0.942553085,3.47745518,13.91798781,7,-2.5064618864114085,-0.5953288512841287,-0.3271591501297452,1.6218741277886022,0.062690557467592,-0.45556403436186005
B2_2017,B2,2017,Croatia,7_17_Croatia,Pond,13.6,391,10.86,105.4,3.61,0.024,0.115,0,28.61338583,4111.65,107,235.25,18,577,1,4000,0,0,0,0.235893333,0,100,0,0,149.33,11,2.17,21.56829215,0.738060637,0.793896272,4.423463913,20.8517663,7,-2.3083908633381696,-0.4490819131438012,-0.4724386244604358,1.6503525383138822,0.08037091016495385,-0.41707511471929787
B3_2017,B3,2017,Croatia,7_17_Croatia,Pond,13.6,391,10.87,103.6,3.2,0.016,0.124,0,40.21091207,4111.65,80,1180.2,9,612,1,4000,0,0,0,0.234026667,0,100,0,0,367.99,10,1.56,8.019190781,0.470618948,0.856079846,3.070504068,11.07962498,7,-2.3300556901070006,-0.4505233072583888,-0.4037596141026776,1.6752711475235023,0.09584121877514545,-0.38339731003205596
C1_2017,C1,2017,Croatia,8_17_Croatia,Channel,15.9,375,9.91,101,3.93,0.106,0.008,0,50.47811024,475694.68,170,0,143,1420,1,4000,0,0,0,0.190933333,36.17,63.83,0,0,1029.29,21,2.27,178.2909951,0.607262412,0.826974198,5.371767026,30.03995943,8,-2.1875952183886325,-0.25734148448427674,-0.26402286878553405,2.2505350401341575,0.45298434326185455,0.3940788667476998
C2_2017,C2,2017,Croatia,8_17_Croatia,Channel,15.3,416,10.16,102.1,2.67,0.191,0.017,0,44.01134514,475694.68,176,0,106,2990,1,4000,0,0,0,0.1072,0,100,0,0,1258.04,15,1.23,8.666664009,0.529419743,0.883048437,2.977167059,12.92450156,8,-2.3129497477472,-0.4384993725854951,-0.3014023814630728,3.3683126532513965,1.1469381866333068,1.9047689627182656
C3_2017,C3,2017,Croatia,8_17_Croatia,Channel,15.2,465,10.18,102.3,6.08,0.1,0.022,0,29.55779528,475694.68,192,0,79,3750,1,4000,0,0,0,0.066666667,0,100,0,0,1140.73,26,2.43,79.75874245,0.607407166,0.890740213,5.024454968,27.29999256,8,-1.8922490708599091,-0.1492639471145128,-0.3598307407004776,3.909402453231716,1.4828648878831818,2.636058435926947
KB1_2017,KB1,2017,Croatia,9_17_Croatia,Channel,15.9,335,10.5,106.4,6.02,0.011,0.083,0,34.43716535,NA,211,654.8,39,813,1,4000,0,0,0,0.223306667,61.54,38.46,0,0,1243.81,31,2.7,72.446724,0.574830299,0.825272541,4.722707123,24.30168948,9,-1.9456133286569477,-0.04597406588982127,-0.49470266277097896,1.818375160413034,0.18468499107938868,-0.18999048882818098
KB2_2017,KB2,2017,Croatia,9_17_Croatia,Channel,15.9,334,10.65,108.8,5.24,0.059,0.125,0,36.4312664,NA,184,409.9,36,981,1,4000,0,0,0,0.214346667,100,0,0,0,1366.4,18,2.09,100.360133,0.708170097,0.925089864,4.88746689,24.8727583,9,-1.9884194528161734,-0.11456824156747775,-0.506663946849824,1.9379844846192098,0.25894247240830837,-0.028337026329419868
KB3_2017,KB3,2017,Croatia,9_17_Croatia,Channel,15.6,333,10.45,105.2,4.87,0.015,0.09,0,34.542979,NA,169,389.5,57,964,1,4000,0,0,0,0.215253333,100,0,0,0,698.06,19,2.47,81.56180141,0.598585424,0.828081503,4.817006744,25.03525049,9,-2.1019084908907764,-0.18518529741236,-0.4704923039644265,1.9258811601459658,0.2514283225119296,-0.04469481717750873
S1_2017,S1,2017,Croatia,10_17_Croatia,Lake,15.8,376,8.53,91,5.36,0.107,0.044,0,34.3453084,127142.48,368,0,19,930,1,4000,0,0,0,0.217066667,0,100,0,0,556.45,12,1.95,5.243983771,0.605779615,0.869862258,5.016947586,26.00145104,10,-2.0941481970977356,-0.3162468262240762,-0.07661107416978907,1.901674511199478,0.23640002271917204,-0.07741039887368656
S2_2017,S2,2017,Croatia,10_17_Croatia,Lake,15.7,381,7.93,80,4.82,0.081,0.113,0,29.81642295,127142.48,750,0,39,980,1,4000,0,0,0,0.2144,15.53,84.47,0,0,106.06,8,1.87,2.606745893,0.786800874,0.766982014,4.359143236,21.17789029,10,-2.1419423990740976,-0.45110944600232866,0.03767767350245771,1.9372725243560778,0.25850046359087436,-0.029299249320483833
S3_2017,S3,2017,Croatia,10_17_Croatia,Lake,15.9,374,10.41,105.8,5.83,0.1,0.016,0,39.21259843,127142.48,483,0,40,1230,1,4000,0,0,0,0.201066667,0,100,0,0,382.23,14,2.25,14.77632559,0.663080587,0.689269284,4.291119123,19.98537261,10,-1.958588404853311,-0.06495607644012444,-0.4355654561001997,2.1152625901390776,0.36900266794938585,0.2112564984455298
S4_2017,S4,2017,Croatia,10_17_Croatia,Lake,16,375,9.63,98.4,5.2,0.154,0.026,0,37.13284027,127142.48,660,0,15,1240,1,4000,0,0,0,0.200533333,14.33,85.67,0,0,152.88,8,1.45,1.054929194,0.619549314,0.607735257,2.75550765,10.83721278,10,-2.049455562913225,-0.20888943829979378,-0.2925129836900001,2.122382192770398,0.3734227561237262,0.22087872835617034
